district,new_id,form,state,capital
"Hamburg, Freie und Hansestadt",ce24a210,NA,NA,NA
"Hamburg, Freie und Hansestadt",d3b7a2c8,NA,NA,NA
"Hamburg, Freie und Hansestadt",dd471751,NA,NA,NA
"Hamburg, Freie und Hansestadt",e3d1b64e,NA,NA,NA
"Hamburg, Freie und Hansestadt",e73d052e,NA,NA,NA
"Hamburg, Freie und Hansestadt",e91871e1,NA,NA,NA
"Hamburg, Freie und Hansestadt",eb82a644,NA,NA,NA
"Hamburg, Freie und Hansestadt",fafec6b6,NA,NA,NA
"Hamm, Stadt",d876ad38,NA,NA,NA
Heidelberg,3e398277,NA,NA,NA
Heidelberg,5624c0ea,NA,NA,NA
Heidelberg,69a2383c,NA,NA,NA
Heidelberg,6cf42231,NA,NA,NA
Heidelberg,a0d15fe3,NA,NA,NA
"Herne, Stadt",42b53b9b,NA,NA,NA
"Herne, Stadt",891bebfd,NA,NA,NA
"Herne, Stadt",dfd5411e,NA,NA,NA
"Herne, Stadt",fcb352b7,NA,NA,NA
Ingolstadt,eac71f81,NA,NA,NA
"Jena, Stadt",0f46b303,NA,NA,NA
"Jena, Stadt",865eb3e8,NA,NA,NA
"Kaiserslautern, kreisfreie Stadt",75319a2c,NA,NA,NA
"Kaiserslautern, kreisfreie Stadt",a215a0ca,NA,NA,NA
"Kassel, documenta-Stadt",1019b65c,NA,NA,NA
"Kassel, documenta-Stadt",1d261517,NA,NA,NA
"Kassel, documenta-Stadt",46bbe90c,NA,NA,NA
"Kassel, documenta-Stadt",7e97aee6,NA,NA,NA
"Kassel, documenta-Stadt",7eb8102b,NA,NA,NA
"Kassel, documenta-Stadt",938f4143,NA,NA,NA
"Kassel, documenta-Stadt",96095572,NA,NA,NA
Kaufbeuren,6a6bfafe,NA,NA,NA
Kempten (Allgäu),5a4a6b93,NA,NA,NA
"Kiel, Landeshauptstadt",1ab58ddf,NA,NA,NA
"Kiel, Landeshauptstadt",518d8a33,NA,NA,NA
"Kiel, Landeshauptstadt",5ef625b6,NA,NA,NA
"Kiel, Landeshauptstadt",c33a39f0,NA,NA,NA
"Kiel, Landeshauptstadt",fc996718,NA,NA,NA
Kleve,7da715a5,NA,NA,NA
Kleve,8dece306,NA,NA,NA
Kleve,e3d9a20b,NA,NA,NA
Kleve,eb736e6a,NA,NA,NA
"Koblenz, kreisfreie Stadt",397448ea,NA,NA,NA
"Koblenz, kreisfreie Stadt",6bbd3e21,NA,NA,NA
"Koblenz, kreisfreie Stadt",7ce1a423,NA,NA,NA
"Krefeld, Stadt",126cbb54,NA,NA,NA
"Krefeld, Stadt",26093cdf,NA,NA,NA
"Krefeld, Stadt",338fcd72,NA,NA,NA
"Krefeld, Stadt",358b3d85,NA,NA,NA
"Krefeld, Stadt",df1e1b67,NA,NA,NA
"Köln, Stadt",08bc4711,NA,NA,NA
"Köln, Stadt",0b8bbb97,NA,NA,NA
"Köln, Stadt",6f4a0a77,NA,NA,NA
"Köln, Stadt",7ad90fb7,NA,NA,NA
"Köln, Stadt",8e707cb5,NA,NA,NA
"Köln, Stadt",936d44a9,NA,NA,NA
"Köln, Stadt",9da2d4de,NA,NA,NA
"Köln, Stadt",aad29a35,NA,NA,NA
"Köln, Stadt",c1bfada1,NA,NA,NA
"Köln, Stadt",c4d9aba1,NA,NA,NA
"Köln, Stadt",c94e80d0,NA,NA,NA
"Köln, Stadt",cbdaa7c8,NA,NA,NA
"Köln, Stadt",cc9f4fbe,NA,NA,NA
"Köln, Stadt",d2fd7ea7,NA,NA,NA
"Köln, Stadt",d89261f5,NA,NA,NA
"Landau in der Pfalz, kreisfreie Stadt",a328c4fe,NA,NA,NA
"Landau in der Pfalz, kreisfreie Stadt",e3672af8,NA,NA,NA
Landkreis Rostock,3b2400f4,NA,NA,NA
Landkreis Rostock,656ba0b4,NA,NA,NA
Landkreis Rostock,6b333fd3,NA,NA,NA
Landkreis Rostock,bb394321,NA,NA,NA
Landsberg am Lech,18b9ab93,NA,NA,NA
Landsberg am Lech,336ca721,NA,NA,NA
Landsberg am Lech,5e00835a,NA,NA,NA
Landsberg am Lech,64a0010c,NA,NA,NA
Landsberg am Lech,f91b5caa,NA,NA,NA
"Leipzig, Stadt",1b1fe2a2,NA,NA,NA
"Leipzig, Stadt",2750ae88,NA,NA,NA
"Leipzig, Stadt",275f9a72,NA,NA,NA
"Leipzig, Stadt",3aa0ce30,NA,NA,NA
"Leipzig, Stadt",498e540a,NA,NA,NA
"Leipzig, Stadt",4cacaa59,NA,NA,NA
"Leipzig, Stadt",6125ba57,NA,NA,NA
"Leipzig, Stadt",6529fdb7,NA,NA,NA
"Leipzig, Stadt",75525986,NA,NA,NA
"Leipzig, Stadt",790e81bf,NA,NA,NA
"Leipzig, Stadt",ac02f199,NA,NA,NA
"Leipzig, Stadt",bdd88183,NA,NA,NA
"Leipzig, Stadt",c07dfa19,NA,NA,NA
"Leipzig, Stadt",d97cfc55,NA,NA,NA
"Leipzig, Stadt",dcda6ed5,NA,NA,NA
"Leipzig, Stadt",e2027b7f,NA,NA,NA
"Leipzig, Stadt",e6ac4236,NA,NA,NA
"Leipzig, Stadt",e78144f3,NA,NA,NA
"Leipzig, Stadt",f64eadd3,NA,NA,NA
Lindau (Bodensee),2f690288,NA,NA,NA
"Ludwigshafen am Rhein, kreisfreie Stadt",3d549edf,NA,NA,NA
"Ludwigshafen am Rhein, kreisfreie Stadt",574af89d,NA,NA,NA
"Lübeck, Hansestadt",07522083,NA,NA,NA
"Lübeck, Hansestadt",09027446,NA,NA,NA
"Lübeck, Hansestadt",3b9003bb,NA,NA,NA
"Lübeck, Hansestadt",69078bd5,NA,NA,NA
"Lübeck, Hansestadt",8894965b,NA,NA,NA
"Lübeck, Hansestadt",f56b1e8d,NA,NA,NA
"Magdeburg, Landeshauptstadt",25585825,NA,NA,NA
"Magdeburg, Landeshauptstadt",38dcc32e,NA,NA,NA
"Magdeburg, Landeshauptstadt",48dd6746,NA,NA,NA
"Magdeburg, Landeshauptstadt",8e4508b0,NA,NA,NA
"Magdeburg, Landeshauptstadt",a3d3cbf2,NA,NA,NA
"Magdeburg, Landeshauptstadt",b9974c04,NA,NA,NA
"Magdeburg, Landeshauptstadt",c9571e70,NA,NA,NA
"Magdeburg, Landeshauptstadt",eb9bc240,NA,NA,NA
"Magdeburg, Landeshauptstadt",ec508fd8,NA,NA,NA
"Mainz, kreisfreie Stadt",3a2d873e,NA,NA,NA
"Mainz, kreisfreie Stadt",a881fedf,NA,NA,NA
"Mainz, kreisfreie Stadt",cba04520,NA,NA,NA
"Mainz, kreisfreie Stadt",e1d354cb,NA,NA,NA
Mannheim,15825085,NA,NA,NA
Mannheim,20117f66,NA,NA,NA
Mannheim,2047faa5,NA,NA,NA
Mannheim,732f166e,NA,NA,NA
Mannheim,84d4a0a8,NA,NA,NA
Mannheim,8c926f33,NA,NA,NA
Mannheim,9de222fc,NA,NA,NA
Mannheim,b56f4d87,NA,NA,NA
Mannheim,ce183b0c,NA,NA,NA
Mannheim,d59af798,NA,NA,NA
Mannheim,df05d179,NA,NA,NA
"Mönchengladbach, Stadt",39af2982,NA,NA,NA
"Mönchengladbach, Stadt",525e7190,NA,NA,NA
"Mönchengladbach, Stadt",7faa39fc,NA,NA,NA
"Mönchengladbach, Stadt",ab90df61,NA,NA,NA
"Mönchengladbach, Stadt",af88904f,NA,NA,NA
"Mönchengladbach, Stadt",d04b3633,NA,NA,NA
Mühldorf a.Inn,a0dacebd,NA,NA,NA
Mühldorf a.Inn,cd066006,NA,NA,NA
"Mülheim an der Ruhr, Stadt",1548a0c3,NA,NA,NA
"Mülheim an der Ruhr, Stadt",5d033e30,NA,NA,NA
"Mülheim an der Ruhr, Stadt",70e0c060,NA,NA,NA
"Mülheim an der Ruhr, Stadt",85a8e982,NA,NA,NA
"Mülheim an der Ruhr, Stadt",c6635d4d,NA,NA,NA
München,05cd8561,NA,NA,NA
München,30510177,NA,NA,NA
München,56d971e6,NA,NA,NA
München,a96f8e6e,NA,NA,NA
München,dabe0310,NA,NA,NA
München,e7337d08,NA,NA,NA
"München, Landeshauptstadt",1a9ec010,NA,NA,NA
"München, Landeshauptstadt",1c624c2e,NA,NA,NA
"München, Landeshauptstadt",1f30f9fc,NA,NA,NA
"München, Landeshauptstadt",25c8a9ff,NA,NA,NA
"München, Landeshauptstadt",2699b5e9,NA,NA,NA
"München, Landeshauptstadt",26ea5a61,NA,NA,NA
"München, Landeshauptstadt",29af2d06,NA,NA,NA
"München, Landeshauptstadt",341b39e8,NA,NA,NA
"München, Landeshauptstadt",3810818c,NA,NA,NA
"München, Landeshauptstadt",3c1f8a47,NA,NA,NA
"München, Landeshauptstadt",3ed3be72,NA,NA,NA
"München, Landeshauptstadt",3ff5a136,NA,NA,NA
"München, Landeshauptstadt",47608e01,NA,NA,NA
"München, Landeshauptstadt",4b150430,NA,NA,NA
"München, Landeshauptstadt",4b587ab6,NA,NA,NA
"München, Landeshauptstadt",51a194e7,NA,NA,NA
"München, Landeshauptstadt",5849eb57,NA,NA,NA
"München, Landeshauptstadt",60dc4b60,NA,NA,NA
"München, Landeshauptstadt",7444ccb3,NA,NA,NA
"München, Landeshauptstadt",80bac17d,NA,NA,NA
"München, Landeshauptstadt",810ac534,NA,NA,NA
"München, Landeshauptstadt",87c5c02c,NA,NA,NA
"München, Landeshauptstadt",8c91d441,NA,NA,NA
"München, Landeshauptstadt",9b6c76a1,NA,NA,NA
