hh_id,hhline,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH875,3,1,Brother,12,M,1,6,2,1,0,0,0,0,3,3
HH875,4,1,Aunt,5,F,1,6,2,1,0,0,0,0,3,3
HH876,1,1,Grandfather,66,M,0,6,2,1,0,0,0,0,3,3
HH876,2,1,Grandmother,60,F,0,6,2,1,0,0,0,0,3,3
HH876,3,1,Brother,15,M,1,6,2,1,0,0,0,0,3,3
HH876,4,1,Uncle,25,M,0,6,2,1,0,0,0,0,3,3
HH876,5,1,Sister,9,F,1,6,2,1,0,0,0,0,3,3
HH876,6,1,Brother,6,M,1,6,2,1,0,0,0,0,3,3
HH876,7,1,Brother,14,M,0,6,2,1,0,0,0,0,3,3
HH877,1,1,Father,40,M,0,6,2,1,0,0,0,0,3,3
HH877,2,1,Mother,34,F,0,6,2,1,0,0,0,0,3,3
HH877,3,1,Aunt,17,F,0,6,2,1,0,0,0,0,3,3
HH877,4,1,Sister,8,F,0,6,2,1,0,0,0,0,3,3
HH877,5,1,Brother,5,M,1,6,2,1,0,0,0,0,3,3
HH878,1,1,Father,43,M,0,5,2,1,0,0,1,0,3,3
HH878,2,1,Mother,35,F,0,5,2,1,0,0,1,0,3,3
HH878,3,1,Sister,28,F,0,5,2,1,0,0,1,0,3,3
HH878,4,1,Brother,20,M,1,5,2,1,0,0,1,0,3,3
HH878,5,1,Niece,3,F,0,5,2,1,0,0,1,0,3,3
HH879,1,1,Father,45,M,0,5,2,1,0,0,1,0,3,3
HH879,2,1,Mother,45,F,0,5,2,1,0,0,1,0,3,3
HH880,1,1,Mother,40,F,1,5,3,1,0,0,1,0,3,3
HH880,2,1,Father,46,M,1,5,3,1,0,0,1,0,3,3
HH880,3,1,Sister,22,F,0,5,3,1,0,0,1,0,3,3
HH880,4,1,Sister,19,F,0,5,3,1,0,0,1,0,3,3
HH880,5,1,Brother,21,M,0,5,3,1,0,0,1,0,3,3
HH880,6,1,Brother,21,M,0,5,3,1,0,0,1,0,3,3
HH880,7,1,Brother,17,M,0,5,3,1,0,0,1,0,3,3
HH881,1,1,Grandfather,56,M,0,5,2,1,0,0,0,0,3,1
HH881,2,1,Grandmother,46,F,0,5,2,1,0,0,0,0,3,1
HH881,3,1,Aunt,24,F,1,5,2,1,0,0,0,0,3,1
HH881,4,1,Sister,1,F,1,5,2,1,0,0,0,0,3,1
HH881,5,1,Sister,1,F,1,5,2,1,0,0,0,0,3,1
HH882,1,1,Mother,52,F,1,5,2,1,0,0,0,0,3,1
HH882,2,1,Brother,19,M,0,5,2,1,0,0,0,0,3,1
HH882,3,1,Brother,12,M,0,5,2,1,0,0,0,0,3,1
HH882,4,1,Brother,9,M,0,5,2,1,0,0,0,0,3,1
HH882,5,1,Cousin,13,M,0,5,2,1,0,0,0,0,3,1
HH882,6,1,Cousin,8,M,0,5,2,1,0,0,0,0,3,1
HH883,1,1,Father,34,M,1,5,2,1,0,0,1,1,3,3
HH883,2,1,Mother,23,F,1,5,2,1,0,0,1,1,3,3
HH883,3,1,Cousin,13,F,0,5,2,1,0,0,1,1,3,3
HH883,4,1,Uncle,16,M,0,5,2,1,0,0,1,1,3,3
HH884,1,1,Father,39,M,1,5,2,1,0,0,1,0,3,3
HH884,2,1,Mother,27,F,1,5,2,1,0,0,1,0,3,3
HH884,3,1,Brother,10,M,0,5,2,1,0,0,1,0,3,3
HH884,4,1,Brother,9,M,0,5,2,1,0,0,1,0,3,3
HH885,1,1,Mother,32,F,0, , , , , , , , , 
HH885,2,1,Father,48,M,0, , , , , , , , , 
HH885,3,1,Brother,14,M,0, , , , , , , , , 
HH885,4,1,Grandmother,85,F,0, , , , , , , , , 
HH885,5,1,Sister,15,F,1, , , , , , , , , 
HH885,6,1,Sister,7,F,1, , , , , , , , , 
HH885,7,1,Brother,9,M,0, , , , , , , , , 
HH885,8,1,Uncle,18,M,0, , , , , , , , , 
HH885,9,1,Grandfather,80,M,0, , , , , , , , , 
HH885,10,1,Grandmother,64,F,0, , , , , , , , , 
HH886,1,1,Mother,38,F,1,5,2,1,0,0,0,0,3,3
HH886,2,1,Brother,,M,1,5,2,1,0,0,0,0,3,3
HH886,3,1,Brother,10,M,1,5,2,1,0,0,0,0,3,3
HH886,4,1,Brother,10,M,1,5,2,1,0,0,0,0,3,3
HH886,5,1,Brother,2,M,1,5,2,1,0,0,0,0,3,3
HH886,6,1,Mother,38,F,1,5,2,1,0,0,0,0,3,3
HH887,1,1,Grandmother,59,F,0,5,2,1,0,0,1,0,3,3
HH887,2,1,Nephew,15,M,0,5,2,1,0,0,1,0,3,3
HH887,3,1,Nephew,4,M,1,5,2,1,0,0,1,0,3,3
HH888,1,1,Father,46,M,1, ,2,1,0,0,0,0,3,3
HH888,2,1,Mother,32,F,1, ,2,1,0,0,0,0,3,3
HH888,3,1,Brother,14,M,0, ,2,1,0,0,0,0,3,3
HH888,4,1,Brother,11,M,0, ,2,1,0,0,0,0,3,3
HH888,5,1,Sister,3,F,0, ,2,1,0,0,0,0,3,3
HH888,6,1,Sister,0,F,1, ,2,1,0,0,0,0,3,3
HH888,7,1,Father,46,M,1, ,2,1,0,0,0,0,3,3
HH888,8,1,Mother,32,F,1, ,2,1,0,0,0,0,3,3
HH888,9,1,Brother,14,M,0, ,2,1,0,0,0,0,3,3
HH888,10,1,Brother,11,M,0, ,2,1,0,0,0,0,3,3
HH888,11,1,Brother,,M,1, ,2,1,0,0,0,0,3,3
HH888,12,1,Sister,3,F,0, ,2,1,0,0,0,0,3,3
HH889,1,1,Mother,53,F,1,5,2,1,0,0,0,0,3,3
HH889,2,1,Aunt,92,F,0,5,2,1,0,0,0,0,3,3
HH889,3,1,Brother,13,M,1,5,2,1,0,0,0,0,3,3
HH889,4,1,Niece,10,F,1,5,2,1,0,0,0,0,3,3
HH890,1,1,Grandmother,68,F,0,3,2,1,0,0,0,0,3,3
HH890,2,1,Sister,3,F,1,3,2,1,0,0,0,0,3,3
HH890,3,1,Cousin,16,M,0,3,2,1,0,0,0,0,3,3
HH891,1,1,Wife,22,F,1,5,2,1,0,0,1,0,3,3
HH892,1,1,Mother,24,F,1,6,2,1,0,0,0,0,3,3
HH892,2,1,Father,42,M,1,6,2,1,0,0,0,0,3,3
HH893,1,1,Grandmother,,F,0,5,2,1,0,0,0,0,3,3
HH893,2,1,Brother,9,M,1,5,2,1,0,0,0,0,3,3
HH894,1,1,Mother,40,F,0,5,2,1,0,0,1,0,3,3
HH894,2,1,Father,46,M,0,5,2,1,0,0,1,0,3,3
HH894,3,1,Husband,24,M,1,5,2,1,0,0,1,0,3,3
HH894,4,1,Aunt,13,F,0,5,2,1,0,0,1,0,3,3
HH894,5,1,Aunt,5,F,0,5,2,1,0,0,1,0,3,3
HH894,6,1,Cousin,13,M,0,5,2,1,0,0,1,0,3,3
HH894,7,1,Cousin,7,M,0,5,2,1,0,0,1,0,3,3
HH894,8,1,Aunt,3,F,0,5,2,1,0,0,1,0,3,3
HH895,1,1,Mother,24,F,1,4,2,1,0,0,0,0,3,3
HH895,2,1,Brother,4,M,1,4,2,1,0,0,0,0,3,3
HH896,1,1,Grandmother,76,F,0,5,2,1,0,0,1,0,2,3
HH896,2,1,Grandmother,57,F,0,5,2,1,0,0,1,0,2,3
HH896,3,1,Sister,12,F,1,5,2,1,0,0,1,0,2,3
HH896,4,1,Cousin,5,F,1,5,2,1,0,0,1,0,2,3
HH896,5,1,Cousin,3,M,0,5,2,1,0,0,1,0,2,3
HH897,1,1,Not related,19,M,0,5,2,1,0,0,1,0,3,3
HH898,1,1,Aunt,48,F,1, , , , , , , , , 
HH898,2,1,Uncle,53,M,1, , , , , , , , , 
HH898,3,1,Nephew,27,M,0, , , , , , , , , 
HH898,4,1,Nephew,29,M,0, , , , , , , , , 
HH898,5,1,Niece,18,F,0, , , , , , , , , 
HH898,6,1,Niece,16,F,0, , , , , , , , , 
HH898,7,1,Sister,16,F,0, , , , , , , , , 
HH898,8,1,Sister,16,F,0, , , , , , , , , 
HH898,9,1,Niece,10,F,0, , , , , , , , , 
HH898,10,1,Nephew,8,M,0, , , , , , , , , 
HH899,1,1,Grandmother,69,F,1,5,2,1,0,0,0,0,3,3
HH900,1,1,Mother,23,F,1,5,2,1,0,0,1,1,3,3
HH900,2,1,Father,27,M,1,5,2,1,0,0,1,1,3,3
HH900,3,1,Uncle,23,M,0,5,2,1,0,0,1,1,3,3
HH900,4,1,Uncle,20,M,0,5,2,1,0,0,1,1,3,3
HH901,1,1,Brother,13,M,0,5,2,1,0,0,0,0,3,3
HH901,2,1,Grandmother,72,F,0,5,2,1,0,0,0,0,3,3
HH902,1,1,Mother,52,F,0,5,2,1,0,0,1,0,3,3
HH902,2,1,Brother,19,M,1,5,2,1,0,0,1,0,3,3
HH902,3,1,Cousin,7,M,1,5,2,1,0,0,1,0,3,3
HH904,1,1,Aunt,88,F,0, , , , , , , , , 
HH904,2,1,Uncle,48,M,0, , , , , , , , , 
HH904,3,1,Cousin,16,F,0, , , , , , , , , 
HH904,4,1,Cousin,20,M,1, , , , , , , , , 
HH904,5,1,Cousin,2,F,0, , , , , , , , , 
HH905,1,1,Mother,35,F,0,5,2,1,0,0,0,0,3,3
HH905,2,1,Sister,12,F,1,5,2,1,0,0,0,0,3,3
HH905,3,1,Father,51,M,0,5,2,1,0,0,0,0,3,3
HH906,1,1,Wife,76,F,1,5,2,1,0,0,0,0,3,3
HH907,1,1,Father,43,M,1,5,2,1,0,0,1,0,3,3
HH907,2,1,Mother,36,F,1,5,2,1,0,0,1,0,3,3
HH907,3,1,Sister,11,F,0,5,2,1,0,0,1,0,3,3
HH907,4,1,Brother,19,M,0,5,2,1,0,0,1,0,3,3
HH907,5,1,Sister,9,F,0,5,2,1,0,0,1,0,3,3
HH908,1,1,Mother,34,F,0,10,2,1,0,0,0,0,2,3
HH908,2,1,Father,35,M,0,10,2,1,0,0,0,0,2,3
HH908,3,1,Sister,7,F,1,10,2,1,0,0,0,0,2,3
HH908,4,1,Brother,3,M,0,10,2,1,0,0,0,0,2,3
HH909,1,1,Grandmother,40,F,1,5,2,1,0,0,1,0,3,3
HH909,2,1,Cousin,6,F,1,5,2,1,0,0,1,0,3,3
